"Id"	"Items"	"size"
1	"AntiVirus"	2
1	"Game Console"	3
1	"Web Publishing"	4
1	"Project Mgmt"	5
2	"Visual Studio"	6
2	"AntiVirus"	2
2	"Game Console"	3
2	"Web Publishing"	4
3	"OS"	5
3	"Office Suite"	6
3	"Game Console"	2
3	"Web Publishing"	3
4	"OS"	4
4	"Office Suite"	5
4	"AntiVirus"	6
4	"Game Console"	2
4	"Web Publishing"	3
4	"Project Mgmt"	4
5	"Office Suite"	5
5	"Visual Studio"	6
5	"AntiVirus"	2
5	"Game Console"	3
5	"Web Publishing"	4
5	"Project Mgmt"	5
6	"OS"	6
6	"Office Suite"	2
6	"Visual Studio"	3
6	"Game Console"	4
6	"Web Publishing"	5
6	"Project Mgmt"	6
7	"OS"	2
7	"Office Suite"	3
7	"AntiVirus"	4
7	"Game Console"	5
7	"Web Publishing"	6
7	"Project Mgmt"	2
8	"OS"	3
8	"Office Suite"	4
8	"Visual Studio"	5
8	"Game Console"	6
8	"Web Publishing"	2
8	"Project Mgmt"	3
9	"Visual Studio"	4
9	"AntiVirus"	5
9	"Game Console"	6
9	"Web Publishing"	2
9	"Project Mgmt"	3
10	"Game Console"	4
10	"Web Publishing"	5
11	"OS"	6
11	"Office Suite"	2
11	"AntiVirus"	3
11	"Game Console"	4
11	"Web Publishing"	5
11	"Project Mgmt"	6
12	"Office Suite"	2
12	"Web Publishing"	3
13	"OS"	4
13	"Office Suite"	5
13	"Visual Studio"	6
13	"AntiVirus"	2
13	"Game Console"	3
13	"Web Publishing"	4
13	"Project Mgmt"	5
14	"OS"	6
14	"Office Suite"	2
14	"Visual Studio"	3
14	"AntiVirus"	4
14	"Game Console"	5
14	"Project Mgmt"	6
15	"Game Console"	2
16	"OS"	3
16	"Office Suite"	4
16	"AntiVirus"	5
16	"Game Console"	6
16	"Web Publishing"	2
16	"Project Mgmt"	3
17	"AntiVirus"	4
17	"Web Publishing"	5
18	"OS"	6
18	"Office Suite"	2
18	"Visual Studio"	3
18	"AntiVirus"	4
18	"Game Console"	5
18	"Web Publishing"	6
18	"Project Mgmt"	2
19	"OS"	3
19	"Visual Studio"	4
19	"AntiVirus"	5
19	"Game Console"	6
19	"Project Mgmt"	2
20	"Office Suite"	3
20	"Visual Studio"	4
20	"AntiVirus"	5
20	"Game Console"	6
20	"Web Publishing"	2
20	"Project Mgmt"	3
21	"Project Mgmt"	4
22	"OS"	5
22	"Office Suite"	6
22	"Visual Studio"	2
22	"AntiVirus"	3
22	"Game Console"	4
22	"Web Publishing"	5
22	"Project Mgmt"	6
23	"OS"	2
23	"Office Suite"	3
23	"Visual Studio"	4
23	"AntiVirus"	5
23	"Game Console"	6
23	"Web Publishing"	2
23	"Project Mgmt"	3
24	"Office Suite"	4
24	"AntiVirus"	5
24	"Game Console"	6
24	"Web Publishing"	2
25	"OS"	3
25	"Office Suite"	4
25	"Visual Studio"	5
25	"AntiVirus"	6
25	"Game Console"	2
25	"Web Publishing"	3
25	"Project Mgmt"	4
26	"Office Suite"	5
26	"Visual Studio"	6
26	"AntiVirus"	2
26	"Game Console"	3
26	"Web Publishing"	4
27	"OS"	5
27	"Office Suite"	6
27	"AntiVirus"	2
27	"Game Console"	3
27	"Web Publishing"	4
27	"Project Mgmt"	5
28	"Office Suite"	6
28	"Visual Studio"	2
28	"AntiVirus"	3
28	"Game Console"	4
28	"Web Publishing"	5
28	"Project Mgmt"	6
29	"Office Suite"	2
29	"Visual Studio"	3
29	"AntiVirus"	4
29	"Game Console"	5
29	"Web Publishing"	6
29	"Project Mgmt"	2
30	"OS"	3
30	"Office Suite"	4
30	"Visual Studio"	5
30	"AntiVirus"	6
30	"Game Console"	2
30	"Web Publishing"	3
30	"Project Mgmt"	4
31	"Office Suite"	5
31	"Visual Studio"	6
31	"AntiVirus"	2
32	"Office Suite"	3
32	"Visual Studio"	4
32	"AntiVirus"	5
32	"Game Console"	6
32	"Web Publishing"	2
32	"Project Mgmt"	3
33	"OS"	4
33	"Office Suite"	5
33	"AntiVirus"	6
33	"Game Console"	2
33	"Project Mgmt"	3
34	"Visual Studio"	4
34	"AntiVirus"	5
34	"Game Console"	6
34	"Web Publishing"	2
35	"Office Suite"	3
35	"Visual Studio"	4
35	"Game Console"	5
35	"Web Publishing"	6
35	"Project Mgmt"	2
36	"OS"	3
36	"Project Mgmt"	4
37	"OS"	5
37	"Office Suite"	6
37	"Visual Studio"	2
37	"AntiVirus"	3
37	"Game Console"	4
37	"Web Publishing"	5
37	"Project Mgmt"	6
38	"OS"	2
38	"Office Suite"	3
38	"Visual Studio"	4
38	"AntiVirus"	5
38	"Web Publishing"	6
38	"Project Mgmt"	2
39	"OS"	3
39	"Office Suite"	4
39	"Visual Studio"	5
39	"AntiVirus"	6
39	"Game Console"	2
39	"Web Publishing"	3
39	"Project Mgmt"	4
40	"Office Suite"	5
40	"Web Publishing"	6
41	"OS"	2
41	"Office Suite"	3
41	"Visual Studio"	4
41	"AntiVirus"	5
41	"Game Console"	6
41	"Web Publishing"	2
41	"Project Mgmt"	3
42	"Game Console"	4
42	"Project Mgmt"	5
43	"OS"	6
43	"Office Suite"	2
43	"AntiVirus"	3
